order_id,customer_id,food_id,quantity,order_date,status,total_amount
1,1,2,1,2026-06-17 11:17:55,Delivered,300.00
2,1,5,3,2026-06-17 11:17:55,Delivered,150.00
3,1,6,2,2026-06-17 11:17:55,Delivered,80.00
4,2,3,2,2026-06-17 11:17:55,Preparing,240.00
5,2,10,1,2026-06-17 11:17:55,Preparing,60.00
6,2,4,4,2026-06-17 11:17:55,Delivered,120.00
7,3,1,1,2026-06-17 11:17:55,Cancelled,250.00
8,3,7,2,2026-06-17 11:17:55,Delivered,300.00
9,3,9,1,2026-06-17 11:17:55,Delivered,130.00
10,4,8,1,2026-06-17 11:17:55,Pending,100.00
11,4,2,2,2026-06-17 11:17:55,Pending,600.00
12,4,5,4,2026-06-17 11:17:55,Preparing,200.00
13,4,10,2,2026-06-17 11:17:55,Preparing,120.00
14,5,3,3,2026-06-17 11:17:55,Delivered,360.00
15,5,4,5,2026-06-17 11:17:55,Delivered,150.00
16,5,6,4,2026-06-17 11:17:55,Delivered,160.00
17,5,1,1,2026-06-17 11:17:55,Preparing,250.00
18,1,8,2,2026-06-17 11:17:55,Delivered,200.00
19,2,9,2,2026-06-17 11:17:55,Pending,260.00
20,3,10,3,2026-06-17 11:17:55,Delivered,180.00
