food_id,name,description,price,category,availability
1,Paneer Butter Masala,"Rich creamy gravy with cottage cheese.",250.00,Main Course,1
2,Chicken Biryani,"Aromatic basmati rice cooked with chicken and spices.",300.00,Main Course,1
3,Masala Dosa,"Crispy dosa with spicy potato filling.",120.00,Breakfast,1
4,Samosa,"Fried pastry with spicy potato filling.",30.00,Snacks,1
5,Gulab Jamun,"Sweet dessert balls soaked in sugar syrup.",50.00,Desserts,1
6,Butter Naan,"Indian bread cooked in tandoor.",40.00,Breads,1
7,Dal Tadka,"Tempered lentils cooked with spices.",150.00,Main Course,1
8,Chole Bhature,"Spicy chickpea curry served with fried bread.",100.00,Breakfast,1
9,Veg Fried Rice,"Rice stir-fried with veggies.",130.00,Main Course,1
10,Mango Lassi,"Sweet yogurt-based mango drink.",60.00,Beverages,1
